Veiculo,Preco_a_vista,Preco_sem_desconto,Ar_condicionado,Transmissao,Bagagem,Ocupantes,Airbag,Freios_ABS
"Mobi Like, Kwid ou similar.*","80,46","82,10",Ar condicionado,Manual,2 Malas,5 Pessoas,Airbag,Freios ABS
"HB20S, Cronos ou Similar.*","92,70","94,59",Ar condicionado,Manual,3 Malas,5 Pessoas,Airbag,Freios ABS
"Polo, HB20 ou Similar.*","80,46","82,10",Ar condicionado,Manual,3 Malas,5 Pessoas,Airbag,Freios ABS
"Polo, HB20, Yaris ou similar.*","103,75",-,Ar condicionado,Automático,3 Malas,5 Pessoas,Airbag,Freios ABS
Spin Adaptada*,"438,53",-,Ar condicionado,Automático,5 Malas,5 Pessoas,Airbag,Freios ABS
"Cronos, Virtus ou similar.*","94,00","95,92",Ar condicionado,Manual,4 Malas,5 Pessoas,Airbag,Freios ABS
"HB20S, Yaris Sedan, Virtus ou Similar.*","109,34","111,57",Ar condicionado,Automático,4 Malas,5 Pessoas,Airbag,Freios ABS
"Pulse, Kardian ou similar.*","108,84","111,06",Ar condicionado,Automático,4 Malas,5 Pessoas,Airbag,Freios ABS
"T-Cross 1.0 TSI, Renegade, Nivus ou Similar.*","132,91","135,62",Ar condicionado,Automático,5 Malas,5 Pessoas,Airbag,Freios ABS
"Jeep Compass, Corolla Cross, Taos ou similar.*","205,18","209,37",Ar condicionado,Automático,4 Malas,5 Pessoas,Airbag,Freios ABS
"Commander, Tiggo8 7L ou similar.*","355,36",-,Ar condicionado,Automático,2 Malas,7 Pessoas,Airbag,Freios ABS
"Strada, Saveiro ou similar.*","175,26","178,84",Ar condicionado,Manual,-,2 Pessoas,Airbag,Freios ABS
"Fiorino, Kangoo ou similar.*","175,26","178,84",Ar condicionado,Manual,-,2 Pessoas,Airbag,Freios ABS
Corolla ou Similar.*,"157,19","160,40",Ar condicionado,Automático,4 Malas,5 Pessoas,Airbag,Freios ABS
"(Blindado) Compass, Corolla Cross, Corolla Sedan, T-Cross ou similar.*","418,53",-,Ar condicionado,Automático,4 Malas,5 Pessoas,Airbag,Freios ABS
